시간,유형,메시지
"오전 11:24:39","info","[5/825] 월평 버스회차지 : 주소 검색 시도[road]-> ""제주특별자치도 제주시 아봉로 450"""
"오전 11:24:39","info","[5/825] 월평 버스회차지 : 역지오코딩 검증 중..."
"오전 11:24:39","success","[5/825] 월평 버스회차지 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오전 11:24:39","success","[5/825] 월평 버스회차지 : 주소 검색 성공[road]"
"오전 11:24:39","info","[5/825] 월평 버스회차지 : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 월평 버스회차지"""
"오전 11:24:39","info","[5/825] 월평 버스회차지 : [DOUBLE-CHECK] 시설명으로 검색 결과 없음 - 주소 검색 결과만 사용"
"오전 11:24:39","success","[5/825] 월평 버스회차지 : 변환 성공"
"오전 11:24:39","info","[6/825] 편백나무숲 : 주소 검색 시도[jibun]-> ""제주특별자치도 제주시 아라일동 산 31-1"""
"오전 11:24:39","info","[6/825] 편백나무숲 : 역지오코딩 검증 중..."
"오전 11:24:40","success","[6/825] 편백나무숲 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오전 11:24:40","success","[6/825] 편백나무숲 : 주소 검색 성공[jibun]"
"오전 11:24:40","info","[6/825] 편백나무숲 : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 편백나무숲"""
"오전 11:24:40","success","[6/825] 편백나무숲 : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (41m)"
"오전 11:24:40","success","[6/825] 편백나무숲 : 변환 성공"
"오전 11:24:40","info","[7/825] 방선문 : 주소 검색 시도[jibun]-> ""제주특별자치도 제주시 오라이동 3819-11"""
"오전 11:24:40","info","[7/825] 방선문 : 역지오코딩 검증 중..."
"오전 11:24:40","success","[7/825] 방선문 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오전 11:24:40","success","[7/825] 방선문 : 주소 검색 성공[jibun]"
"오전 11:24:40","info","[7/825] 방선문 : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 방선문"""
"오전 11:24:40","warning","[7/825] 방선문 : [DOUBLE-CHECK] 시설명 위치와 불일치 (378m)"
"오전 11:24:40","success","[7/825] 방선문 : 변환 성공"
"오전 11:24:40","info","[8/825] 연동주민센터옆 : 주소 검색 시도[road]-> ""제주특별자치도 제주시 신대로 101"""
"오전 11:24:40","info","[8/825] 연동주민센터옆 : 역지오코딩 검증 중..."
"오전 11:24:40","success","[8/825] 연동주민센터옆 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오전 11:24:40","success","[8/825] 연동주민센터옆 : 주소 검색 성공[road]"
"오전 11:24:40","info","[8/825] 연동주민센터옆 : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 연동주민센터옆"""
"오전 11:24:41","info","[8/825] 연동주민센터옆 : [DOUBLE-CHECK] 시설명으로 검색 결과 없음 - 주소 검색 결과만 사용"
"오전 11:24:41","success","[8/825] 연동주민센터옆 : 변환 성공"
"오전 11:24:41","info","[9/825] 누웨마루거리 : 주소 검색 시도[road]-> ""제주특별자치도 제주시 신대로12길 54"""
"오전 11:24:41","info","[9/825] 누웨마루거리 : 역지오코딩 검증 중..."
"오전 11:24:41","success","[9/825] 누웨마루거리 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오전 11:24:41","success","[9/825] 누웨마루거리 : 주소 검색 성공[road]"
"오전 11:24:41","info","[9/825] 누웨마루거리 : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 누웨마루거리"""
"오전 11:24:41","warning","[9/825] 누웨마루거리 : [DOUBLE-CHECK] 시설명 위치와 불일치 (326m)"
"오전 11:24:41","success","[9/825] 누웨마루거리 : 변환 성공"
"오전 11:24:41","info","[10/825] 신비의도로(소정도채비옆) : 주소 검색 시도[road]-> ""제주특별자치도 제주시 1100로 2894-65"""
"오전 11:24:41","info","[10/825] 신비의도로(소정도채비옆) : 역지오코딩 검증 중..."
"오전 11:24:41","success","[10/825] 신비의도로(소정도채비옆) : 역지오코딩 검증[PERFECT] - 주소 일치"
"오전 11:24:41","success","[10/825] 신비의도로(소정도채비옆) : 주소 검색 성공[road]"
"오전 11:24:41","info","[10/825] 신비의도로(소정도채비옆) : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 신비의도로"""
"오전 11:24:42","success","[10/825] 신비의도로(소정도채비옆) : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (123m)"
"오전 11:24:42","warning","[10/825] 신비의도로(소정도채비옆) : [DOUBLE-CHECK] 주소 번호 불일치 (2894 vs 291), 하지만 위치 근접하여 허용"
"오전 11:24:42","success","[10/825] 신비의도로(소정도채비옆) : 변환 성공"
"오전 11:24:42","info","[11/825] 한림중앙상가(1층 서쪽) : 주소 검색 시도[road]-> ""제주특별자치도 제주시 한림읍 한림북동길 2"""
"오전 11:24:42","info","[11/825] 한림중앙상가(1층 서쪽) : 역지오코딩 검증 중..."
"오전 11:24:42","success","[11/825] 한림중앙상가(1층 서쪽) : 역지오코딩 검증[PERFECT] - 주소 일치"
"오전 11:24:42","success","[11/825] 한림중앙상가(1층 서쪽) : 주소 검색 성공[road]"
"오전 11:24:42","info","[11/825] 한림중앙상가(1층 서쪽) : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 한림중앙상가"""
"오전 11:24:42","success","[11/825] 한림중앙상가(1층 서쪽) : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (85m)"
"오전 11:24:42","warning","[11/825] 한림중앙상가(1층 서쪽) : [DOUBLE-CHECK] 주소 번호 불일치 (2 vs 7), 하지만 위치 근접하여 허용"
"오전 11:24:42","success","[11/825] 한림중앙상가(1층 서쪽) : 변환 성공"
"오전 11:24:42","warning","[12/825] 한림중앙상가(2층 동쪽) : [Duplicate] 중복 데이터로 감지되어 건너뜁니다."
"오전 11:24:42","warning","[13/825] 한림중앙상가(2층서쪽) : [Duplicate] 중복 데이터로 감지되어 건너뜁니다."
"오전 11:24:42","info","[14/825] 금능리포구(도시계획과) : 주소 검색 시도[road]-> ""제주특별자치도 제주시 한림읍 금능7길 14-8"""
"오전 11:24:42","info","[14/825] 금능리포구(도시계획과) : 역지오코딩 검증 중..."
"오전 11:24:42","success","[14/825] 금능리포구(도시계획과) : 역지오코딩 검증[PERFECT] - 주소 일치"
"오전 11:24:42","success","[14/825] 금능리포구(도시계획과) : 주소 검색 성공[road]"
"오전 11:24:42","info","[14/825] 금능리포구(도시계획과) : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 금능리포구"""
"오전 11:24:42","success","[14/825] 금능리포구(도시계획과) : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (81m)"
"오전 11:24:42","success","[14/825] 금능리포구(도시계획과) : 변환 성공"
"오전 11:24:42","info","[15/825] 금악오름 : 주소 검색 시도[jibun]-> ""제주특별자치도 제주시 한림읍 금악리 1210"""
"오전 11:24:43","info","[15/825] 금악오름 : 역지오코딩 검증 중..."
"오전 11:24:43","success","[15/825] 금악오름 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오전 11:24:43","success","[15/825] 금악오름 : 주소 검색 성공[jibun]"
"오전 11:24:43","info","[15/825] 금악오름 : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 금악오름"""
"오전 11:24:43","warning","[15/825] 금악오름 : [DOUBLE-CHECK] 시설명 위치와 불일치 (404m)"
"오전 11:24:43","success","[15/825] 금악오름 : 변환 성공"
"오전 11:24:43","info","[16/825] 귀덕올레15코스 화장실 : 주소 검색 시도[jibun]-> ""제주특별자치도 제주시 한림읍 귀덕리 2597-1"""
"오전 11:24:43","info","[16/825] 귀덕올레15코스 화장실 : 역지오코딩 검증 중..."
"오전 11:24:43","success","[16/825] 귀덕올레15코스 화장실 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오전 11:24:43","success","[16/825] 귀덕올레15코스 화장실 : 주소 검색 성공[jibun]"
"오전 11:24:43","info","[16/825] 귀덕올레15코스 화장실 : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 귀덕올레15코스"""
"오전 11:24:43","info","[16/825] 귀덕올레15코스 화장실 : [DOUBLE-CHECK] 시설명으로 검색 결과 없음 - 주소 검색 결과만 사용"
"오전 11:24:43","success","[16/825] 귀덕올레15코스 화장실 : 변환 성공"
"오전 11:24:43","info","[17/825] 월령리(월령포구) : 주소 검색 시도[jibun]-> ""제주특별자치도 제주시 한림읍 월령리 344-2 서쪽 공유수면"""
"오전 11:24:44","info","[17/825] 월령리(월령포구) : 역지오코딩 검증 중..."
"오전 11:24:44","success","[17/825] 월령리(월령포구) : 역지오코딩 검증[PERFECT] - 주소 일치"
"오전 11:24:44","success","[17/825] 월령리(월령포구) : 주소 검색 성공[jibun]"
"오전 11:24:44","info","[17/825] 월령리(월령포구) : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 월령리"""
"오전 11:24:44","warning","[17/825] 월령리(월령포구) : [DOUBLE-CHECK] 시설명 위치와 불일치 (2156m)"
"오전 11:24:44","success","[17/825] 월령리(월령포구) : 변환 성공"
"오전 11:24:44","info","[18/825] 옹포천 어울공원 : 주소 검색 시도[road]-> ""제주특별자치도 제주시 한림읍 한림상로36-6"""
"오전 11:24:44","warning","[18/825] 옹포천 어울공원 : 검색 결과 없음(NULL) -> ""제주특별자치도 제주시 한림읍 한림상로36-6"""
"오전 11:24:44","info","[18/825] 옹포천 어울공원 : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 옹포천 어울공원"""
"오전 11:24:44","info","[18/825] 옹포천 어울공원 : [PHASE B] 주소 검색 실패, 시설명 검색 결과 검토 중..."
"오전 11:24:44","success","[18/825] 옹포천 어울공원 : [PHASE B] 시설명 검색 결과 기반으로 좌표 결정"
"오전 11:24:44","success","[18/825] 옹포천 어울공원 : 변환 성공"
"오전 11:24:44","info","[19/825] 남또르쉼터 : 주소 검색 시도[road]-> ""제주특별자치도 제주시 애월읍 애월해안로 466-1"""
"오전 11:24:44","info","[19/825] 남또르쉼터 : 역지오코딩 검증 중..."
"오전 11:24:45","success","[19/825] 남또르쉼터 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오전 11:24:45","success","[19/825] 남또르쉼터 : 주소 검색 성공[road]"
"오전 11:24:45","info","[19/825] 남또르쉼터 : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 남또르쉼터"""
"오전 11:24:45","info","[19/825] 남또르쉼터 : [DOUBLE-CHECK] 시설명으로 검색 결과 없음 - 주소 검색 결과만 사용"
"오전 11:24:45","success","[19/825] 남또르쉼터 : 변환 성공"
"오전 11:24:45","info","[20/825] 한담공원 : 주소 검색 시도[jibun]-> ""제주특별자치도 제주시 애월읍 애월리 2461"""
"오전 11:24:45","info","[20/825] 한담공원 : 역지오코딩 검증 중..."
"오전 11:24:45","success","[20/825] 한담공원 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오전 11:24:45","success","[20/825] 한담공원 : 주소 검색 성공[jibun]"
"오전 11:24:45","info","[20/825] 한담공원 : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 한담공원"""
"오전 11:24:45","success","[20/825] 한담공원 : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (25m)"
"오전 11:24:45","warning","[20/825] 한담공원 : [DOUBLE-CHECK] 주소 번호 불일치 (2461 vs 2459), 하지만 위치 근접하여 허용"
"오전 11:24:45","success","[20/825] 한담공원 : 변환 성공"
"오전 11:24:45","info","[21/825] 바리메오름주차장 : 주소 검색 시도[jibun]-> ""제주특별자치도 제주시 애월읍 어음리 산21"""
"오전 11:24:45","info","[21/825] 바리메오름주차장 : 역지오코딩 검증 중..."
"오전 11:24:45","success","[21/825] 바리메오름주차장 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오전 11:24:45","success","[21/825] 바리메오름주차장 : 주소 검색 성공[jibun]"
"오전 11:24:45","info","[21/825] 바리메오름주차장 : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 바리메오름주차장"""
"오전 11:24:46","info","[21/825] 바리메오름주차장 : [DOUBLE-CHECK] 시설명으로 검색 결과 없음 - 주소 검색 결과만 사용"
"오전 11:24:46","success","[21/825] 바리메오름주차장 : 변환 성공"
"오전 11:24:46","info","[22/825] 족은노꼬메오름주차장 : 주소 검색 시도[jibun]-> ""제주특별자치도 제주시 애월읍 유수암리 산28"""
"오전 11:24:46","info","[22/825] 족은노꼬메오름주차장 : 역지오코딩 검증 중..."
"오전 11:24:46","success","[22/825] 족은노꼬메오름주차장 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오전 11:24:46","success","[22/825] 족은노꼬메오름주차장 : 주소 검색 성공[jibun]"
"오전 11:24:46","info","[22/825] 족은노꼬메오름주차장 : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 족은노꼬메오름주차장"""
"오전 11:24:46","warning","[22/825] 족은노꼬메오름주차장 : [DOUBLE-CHECK] 시설명 위치와 불일치 (220m)"
"오전 11:24:46","success","[22/825] 족은노꼬메오름주차장 : 변환 성공"
"오전 11:24:46","info","[23/825] 궤물오름주차장 : 주소 검색 시도[jibun]-> ""제주특별자치도 제주시 애월읍 유수암리 1191-2"""
"오전 11:24:46","info","[23/825] 궤물오름주차장 : 역지오코딩 검증 중..."
"오전 11:24:46","success","[23/825] 궤물오름주차장 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오전 11:24:46","success","[23/825] 궤물오름주차장 : 주소 검색 성공[jibun]"
"오전 11:24:46","info","[23/825] 궤물오름주차장 : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 궤물오름주차장"""
"오전 11:24:47","info","[23/825] 궤물오름주차장 : [DOUBLE-CHECK] 시설명으로 검색 결과 없음 - 주소 검색 결과만 사용"
"오전 11:24:47","success","[23/825] 궤물오름주차장 : 변환 성공"
"오전 11:24:47","info","[24/825] 중엄소공원 : 주소 검색 시도[jibun]-> ""제주특별자치도 제주시 애월읍 신엄리 961"""
"오전 11:24:47","info","[24/825] 중엄소공원 : 역지오코딩 검증 중..."
"오전 11:24:47","success","[24/825] 중엄소공원 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오전 11:24:47","success","[24/825] 중엄소공원 : 주소 검색 성공[jibun]"
"오전 11:24:47","info","[24/825] 중엄소공원 : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 중엄소공원"""
"오전 11:24:47","info","[24/825] 중엄소공원 : [DOUBLE-CHECK] 시설명으로 검색 결과 없음 - 주소 검색 결과만 사용"
"오전 11:24:47","success","[24/825] 중엄소공원 : 변환 성공"
"오전 11:24:47","info","[25/825] 하가연하못옆 : 주소 검색 시도[road]-> ""제주특별자치도 제주시 애월읍 하가로 182"""
"오전 11:24:47","info","[25/825] 하가연하못옆 : 역지오코딩 검증 중..."
"오전 11:24:47","success","[25/825] 하가연하못옆 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오전 11:24:47","success","[25/825] 하가연하못옆 : 주소 검색 성공[road]"
"오전 11:24:47","info","[25/825] 하가연하못옆 : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 하가연하못옆"""
"오전 11:24:48","info","[25/825] 하가연하못옆 : [DOUBLE-CHECK] 시설명으로 검색 결과 없음 - 주소 검색 결과만 사용"
"오전 11:24:48","success","[25/825] 하가연하못옆 : 변환 성공"
"오전 11:24:48","info","[26/825] 오당빌레 : 주소 검색 시도[jibun]-> ""제주특별자치도 제주시 애월읍 하가리 846-1"""
"오전 11:24:48","info","[26/825] 오당빌레 : 역지오코딩 검증 중..."
"오전 11:24:48","success","[26/825] 오당빌레 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오전 11:24:48","success","[26/825] 오당빌레 : 주소 검색 성공[jibun]"
"오전 11:24:48","info","[26/825] 오당빌레 : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 오당빌레"""
"오전 11:24:48","success","[26/825] 오당빌레 : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (46m)"
"오전 11:24:48","success","[26/825] 오당빌레 : 변환 성공"
"오전 11:24:48","info","[27/825] 가문동포구 : 주소 검색 시도[road]-> ""제주특별자치도 제주시 애월읍 가문동길 50"""
"오전 11:24:48","info","[27/825] 가문동포구 : 역지오코딩 검증 중..."
"오전 11:24:48","success","[27/825] 가문동포구 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오전 11:24:48","success","[27/825] 가문동포구 : 주소 검색 성공[road]"
"오전 11:24:48","info","[27/825] 가문동포구 : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 가문동포구"""
"오전 11:24:49","success","[27/825] 가문동포구 : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (65m)"
"오전 11:24:49","warning","[27/825] 가문동포구 : [DOUBLE-CHECK] 주소 번호 불일치 (50 vs 2696), 하지만 위치 근접하여 허용"
"오전 11:24:49","success","[27/825] 가문동포구 : 변환 성공"
"오전 11:24:49","info","[28/825] 미수동포구 : 주소 검색 시도[jibun]-> ""제주특별자치도 제주시 애월읍 하귀2리 1656-6"""
"오전 11:24:49","info","[28/825] 미수동포구 : 역지오코딩 검증 중..."
"오전 11:24:49","success","[28/825] 미수동포구 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오전 11:24:49","success","[28/825] 미수동포구 : 주소 검색 성공[jibun]"
"오전 11:24:49","info","[28/825] 미수동포구 : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 미수동포구"""
"오전 11:24:49","info","[28/825] 미수동포구 : [DOUBLE-CHECK] 시설명으로 검색 결과 없음 - 주소 검색 결과만 사용"
"오전 11:24:49","success","[28/825] 미수동포구 : 변환 성공"
"오전 11:24:49","info","[29/825] 제일주차빌딩 : 주소 검색 시도[road]-> ""제주특별자치도 제주시 관덕로15길 3"""
"오전 11:24:49","info","[29/825] 제일주차빌딩 : 역지오코딩 검증 중..."
"오전 11:24:50","success","[29/825] 제일주차빌딩 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오전 11:24:50","success","[29/825] 제일주차빌딩 : 주소 검색 성공[road]"
"오전 11:24:50","info","[29/825] 제일주차빌딩 : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 제일주차빌딩"""
"오전 11:24:50","info","[29/825] 제일주차빌딩 : [DOUBLE-CHECK] 시설명으로 검색 결과 없음 - 주소 검색 결과만 사용"
"오전 11:24:50","success","[29/825] 제일주차빌딩 : 변환 성공"
"오전 11:24:50","info","[30/825] 공항입구주차장 : 주소 검색 시도[road]-> ""제주특별자치도 제주시 다호북길 7"""
"오전 11:24:50","info","[30/825] 공항입구주차장 : 역지오코딩 검증 중..."
"오전 11:24:50","success","[30/825] 공항입구주차장 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오전 11:24:50","success","[30/825] 공항입구주차장 : 주소 검색 성공[road]"
"오전 11:24:50","info","[30/825] 공항입구주차장 : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 공항입구주차장"""
"오전 11:24:50","success","[30/825] 공항입구주차장 : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (36m)"
"오전 11:24:50","success","[30/825] 공항입구주차장 : 변환 성공"
"오전 11:24:50","info","[31/825] 이도2동 주민센터 앞 주차장 : 주소 검색 시도[road]-> ""제주특별자치도 제주시 오복3길 9"""
"오전 11:24:51","info","[31/825] 이도2동 주민센터 앞 주차장 : 역지오코딩 검증 중..."
"오전 11:24:51","success","[31/825] 이도2동 주민센터 앞 주차장 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오전 11:24:51","success","[31/825] 이도2동 주민센터 앞 주차장 : 주소 검색 성공[road]"
"오전 11:24:51","info","[31/825] 이도2동 주민센터 앞 주차장 : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 이도2동 주민센터 앞 주차장"""
"오전 11:24:51","success","[31/825] 이도2동 주민센터 앞 주차장 : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (44m)"
"오전 11:24:51","warning","[31/825] 이도2동 주민센터 앞 주차장 : [DOUBLE-CHECK] 주소 번호 불일치 (9 vs 8), 하지만 위치 근접하여 허용"
"오전 11:24:51","success","[31/825] 이도2동 주민센터 앞 주차장 : 변환 성공"
"오전 11:24:51","info","[32/825] 동문재래 공영주차장 : 주소 검색 시도[road]-> ""제주특별자치도 제주시 중앙로13길 16-8"""
"오전 11:24:51","info","[32/825] 동문재래 공영주차장 : 역지오코딩 검증 중..."
"오전 11:24:51","success","[32/825] 동문재래 공영주차장 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오전 11:24:51","success","[32/825] 동문재래 공영주차장 : 주소 검색 성공[road]"
"오전 11:24:51","info","[32/825] 동문재래 공영주차장 : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 동문재래 공영주차장"""
"오전 11:24:52","success","[32/825] 동문재래 공영주차장 : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (2m)"
"오전 11:24:52","success","[32/825] 동문재래 공영주차장 : 변환 성공"
"오전 11:24:52","info","[33/825] 노형 제2 공영주차장 : 주소 검색 시도[road]-> ""제주특별자치도 제주시 월랑로2길 1"""
"오전 11:24:52","info","[33/825] 노형 제2 공영주차장 : 역지오코딩 검증 중..."
"오전 11:24:52","success","[33/825] 노형 제2 공영주차장 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오전 11:24:52","success","[33/825] 노형 제2 공영주차장 : 주소 검색 성공[road]"
"오전 11:24:52","info","[33/825] 노형 제2 공영주차장 : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 노형 제2 공영주차장"""
"오전 11:24:52","success","[33/825] 노형 제2 공영주차장 : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (1m)"
"오전 11:24:52","success","[33/825] 노형 제2 공영주차장 : 변환 성공"
"오전 11:24:52","info","[34/825] 노형 정존 공영주차장 : 주소 검색 시도[road]-> ""제주특별자치도 제주시 수덕5 길34"""
"오전 11:24:52","info","[34/825] 노형 정존 공영주차장 : 역지오코딩 검증 중..."
"오전 11:24:53","success","[34/825] 노형 정존 공영주차장 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오전 11:24:53","success","[34/825] 노형 정존 공영주차장 : 주소 검색 성공[road]"
"오전 11:24:53","info","[34/825] 노형 정존 공영주차장 : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 노형 정존 공영주차장"""
"오전 11:24:53","success","[34/825] 노형 정존 공영주차장 : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (4m)"
"오전 11:24:53","success","[34/825] 노형 정존 공영주차장 : 변환 성공"
"오전 11:24:53","info","[35/825] 제주상공회의소 동측 공영주차장 (도남) : 주소 검색 시도[jibun]-> ""제주특별자치도 제주시 도남동 574-3"""
"오전 11:24:53","info","[35/825] 제주상공회의소 동측 공영주차장 (도남) : 역지오코딩 검증 중..."
"오전 11:24:53","success","[35/825] 제주상공회의소 동측 공영주차장 (도남) : 역지오코딩 검증[PERFECT] - 주소 일치"
"오전 11:24:53","success","[35/825] 제주상공회의소 동측 공영주차장 (도남) : 주소 검색 성공[jibun]"
"오전 11:24:53","info","[35/825] 제주상공회의소 동측 공영주차장 (도남) : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 제주상공회의소 동측 공영주차장"""
"오전 11:24:53","info","[35/825] 제주상공회의소 동측 공영주차장 (도남) : [DOUBLE-CHECK] 시설명으로 검색 결과 없음 - 주소 검색 결과만 사용"
"오전 11:24:53","success","[35/825] 제주상공회의소 동측 공영주차장 (도남) : 변환 성공"
"오전 11:24:53","info","[36/825] 지미봉주차장 : 주소 검색 시도[jibun]-> ""제주특별자치도 제주시 구좌읍 종달리 산2"""
"오전 11:24:54","info","[36/825] 지미봉주차장 : 역지오코딩 검증 중..."
"오전 11:24:54","success","[36/825] 지미봉주차장 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오전 11:24:54","success","[36/825] 지미봉주차장 : 주소 검색 성공[jibun]"
"오전 11:24:54","info","[36/825] 지미봉주차장 : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 지미봉주차장"""
"오전 11:24:54","success","[36/825] 지미봉주차장 : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (91m)"
"오전 11:24:54","success","[36/825] 지미봉주차장 : 변환 성공"
"오전 11:24:54","info","[37/825] 용눈이오름 주차장 : 주소 검색 시도[jibun]-> ""제주특별자치도 제주시 구좌읍 종달리 4650"""
